ExptGroup,Expt,Strain,Media,Bact,Light,Temp,Rep,Bact.short,Growth.Rate,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I,P_I.C,FSC.mean,FSC.stdev,REDF.mean,REDF.stdev,REDF.samedayaschl,chl.percell,TotC.perday,Base.Bact,Best.fit,Best.a,Best.g,Max.Rate.Scaled,Max.YellowF.Scaled,graz.rate.C,prop.C.phot,prop.C.het,Bact.short.2,Active.Chl,C.perOch,C.perOch.se,C.perOch.sd,N.perOch,N.perOch.se,N.perOch.sd,chl.to.C,P_I.perC,P_I.percell,attack.per.C,graz.per.C,Strain.Bact.Light,C.from.grazing,attack.per.C.scaled,C.from.grazing.perCperday,CUE,C.eff.phot,C.eff.phag,N.from.grazing.perCperday,N.from.grazing.perNperday,N.deficit,TotalNinOch.pgNpermL,TotalNinOch.molperL
Photoacc,5,1392,fswK,Xenic,75,24,B,X,0.39810123,0.482,279.042633,1.98536203,265.312656,7.03671542,3.22E-11,1.80095701,1.11E-01,5.51E-08,147.317596,124.497143,2.15153223,7224.31848,235.500818,8721.14485,753.80106,7697.088,0.30350991,NA,1288571.43,TypeII,1.13E-06,35.0916618,1.13815947,135.684648,3.50916618,0.70492667,0.29507333,X,0.14629178,17.5228333,1.31282681,3.2157558,2.22616667,0.38658698,0.94694085,17.3208241,0.44719574,7.84E+00,6.45E-08,2.00262487,1392.X.75,0.22749744,1.54769491,0.22749744,0.59004781,0.89021697,1.7499152,0.0225245,0.17729717,-0.554643,4.45E+05,3.18E-05
Photoacc,5,1392,fswK,Xenic,75,24,C,X,0.45128344,0.461,340.431972,2.27368756,322.921682,7.31348003,7.83E-12,2.12615523,1.09E-01,1.13E-08,151.880577,147.650893,2.55167025,7027.62431,81.5347602,8395.40075,406.482613,7724.13524,0.28463882,NA,1288571.43,TypeII,1.13E-06,34.804236,1.12917015,128.562828,3.4804236,0.71480203,0.28519797,X,0.1312185,17.5228333,1.31282681,3.2157558,2.22616667,0.38658698,0.94694085,16.2438813,0.49738834,8.72E+00,6.45E-08,1.98622194,1392.X.75,0.22563407,1.54769491,0.22563407,0.62416245,0.90730603,2.00006778,0.02234001,0.17584498,-0.6103447,4.45E+05,3.18E-05
Photoacc,5,1392,fswK,Rice,75,24,A,R,0.813557,0.501,539.61109,2.61948729,533.459076,1.41E+01,3.18E-11,2.37748886,9.67E-02,1.45E-09,224.379212,171.954874,2.9716863,8682.8513,170.264848,6483.43766,598.991025,10285.4323,0.27246824,NA,32710000,TypeI,5.07E-07,397.671183,19.622173,2542.88378,39.7671183,0.24066537,0.75933463,R,0.13650659,20.334,2.57085444,6.29728157,3.98916667,0.71040085,1.74011958,13.3996382,0.47783425,9.72E+00,2.49E-08,19.556958,1392.R.75,2.22166315,0.59840661,2.22166315,0.30137351,1.70259246,0.36619278,0.21996665,1.12123714,0.37819126,7.98E+05,5.69E-05
Photoacc,5,1392,fswK,Rice,75,24,B,R,0.817208,0.51,530.139308,2.57817336,520.192073,1.49E+01,6.47E-11,2.33339426,1.04E-01,3.16E-09,222.933639,168.688017,2.91522919,8817.82433,344.166435,6372.55983,278.240315,9611.9596,0.2701243,NA,32710000,TypeI,5.32E-07,417.615225,16.8042626,2164.39411,41.7615225,0.21331126,0.78668875,R,0.13776339,20.334,2.57085444,6.29728157,3.98916667,0.71040085,1.74011958,13.2843662,0.46472367,9.45E+00,2.62E-08,20.5377803,1392.R.75,2.33308421,0.62791384,2.33308421,0.29208868,1.75848157,0.3502694,0.23099844,1.17746953,0.44084435,7.98E+05,5.69E-05
Photoacc,5,1392,fswK,Rice,75,24,C,R,0.767359,0.499,557.218523,2.62596236,552.364522,1.39E+01,1.98E-11,2.42651508,9.19E-02,7.75E-10,227.636962,175.677462,3.03601925,8945.30878,258.505579,6427.90384,386.902187,9255.74996,0.27129427,NA,32710000,TypeI,4.63E-07,363.233162,18.3996074,2493.46453,36.3233162,0.23867463,0.76132537,R,0.13537584,20.334,2.57085444,6.29728157,3.98916667,0.71040085,1.74011958,13.3419035,0.48607531,9.88E+00,2.28E-08,17.8633403,1392.R.75,2.02926882,0.54647389,2.02926882,0.30507118,1.57868335,0.37814556,0.2009177,1.02413886,0.33462807,7.98E+05,5.69E-05
Photoacc,5,590,fswK,Xenic,100,24,A,X,0.474409,0.548,241.362674,1.38346574,228.150459,8.19E+00,4.82E-10,1.1950638,7.92E-02,1.07E-07,190.910693,109.656292,1.89505591,7594.15189,102.821663,7673.85858,402.397727,7217.73134,0.20442898,NA,1610666.67,TypeI,1.01E-06,38.9551903,2.84522226,Inf,3.89551903,0.56516937,0.43483063,X,0.11202708,13.5833333,2.0402782,4.99764051,0.9564,0.19150159,0.42821058,15.049986,0.34224678,4.65E+00,7.44E-08,2.86786677,590.X.100,0.3257886,1.78453988,0.3257886,0.7101555,1.38616059,1.45618662,0.0322563,0.45812216,-0.0343308,1.91E+05,1.37E-05
Photoacc,5,590,fswK,Xenic,100,24,B,X,0.438057,0.528,233.526764,1.38126437,222.083923,8.20E+00,6.16E-10,1.20202319,8.46E-02,1.81E-07,184.758434,109.694252,1.89571193,7565.96808,140.345895,7916.48691,630.664485,7297.65812,0.22142425,NA,1610666.67,TypeII,1.27E-06,49.1464483,2.06802524,208.97761,4.91464483,0.47997015,0.52002985,X,0.11691201,13.5833333,2.0402782,4.99764051,0.9564,0.19150159,0.42821058,16.301172,0.37082791,5.04E+00,9.35E-08,3.61814343,590.X.100,0.41101975,2.24392638,0.41101975,0.56028434,1.18129457,1.06578091,0.04069502,0.57797374,0.31940304,1.91E+05,1.37E-05
Photoacc,5,590,fswK,Xenic,100,24,C,X,0.396783,0.529,252.838824,1.41286309,240.09645,9.13E+00,8.05E-10,1.21014063,8.16E-02,1.24E-07,198.403759,111.710857,1.93056245,7511.86518,152.2205,7798.22847,548.772226,7257.41475,0.21314066,NA,1610666.67,TypeII,1.39E-06,53.7764617,2.10417601,228.178932,5.37764617,0.50827057,0.49172943,X,0.11275141,13.5833333,2.0402782,4.99764051,0.9564,0.19150159,0.42821058,15.6913368,0.36351727,4.94E+00,1.02E-07,3.95900332,590.X.100,0.44974131,2.45595092,0.44974131,0.4878928,1.09151074,0.88224718,0.04452884,0.63242378,0.59387822,1.91E+05,1.37E-05
Photoacc,5,590,fswK,Rice,100,24,A,R,0.879171,0.562,291.125778,1.69220465,280.143948,6.61E+00,1.13E-11,1.58621311,7.45E-02,5.25E-09,176.611796,143.594252,2.48156426,9607.54666,159.630349,10334.8568,437.440946,9993.91944,0.31964639,NA,27424242.4,TypeI,9.90E-07,651.74224,27.1254589,4197.82828,65.174224,0.10831539,0.89168461,R,0.17964127,28.6046667,4.43700514,10.8683986,4.87216667,0.799343,1.95798247,11.1746239,0.33276657,9.52E+00,3.46E-08,22.7844725,590.R.100,2.5883076,0.8306337,2.5883076,0.30097524,2.64200518,0.33967021,0.25626808,1.50455916,0.71133848,9.74E+05,6.96E-05
Photoacc,5,590,fswK,Rice,100,24,B,R,0.947094,0.548,306.036619,1.69485797,296.338814,7.33E+00,1.72E-11,1.58500491,7.39E-02,4.88E-09,186.963973,144.936101,2.50475381,9452.80294,781.990854,9303.51738,672.026237,10177.7055,0.29619236,NA,27424242.4,TypeI,1.85E-06,1220.51822,50.4149162,3980.12964,122.051822,0.07767832,0.92232169,R,0.16231341,28.6046667,4.43700514,10.8683986,4.87216667,0.799343,1.95798247,10.3546867,0.31123129,8.90E+00,6.47E-08,42.6685001,590.R.100,4.84712575,1.55219428,4.84712575,0.18360381,3.04305521,0.19539291,0.47991344,2.81758916,1.97498365,9.74E+05,6.96E-05
Photoacc,5,590,fswK,Rice,100,24,C,R,0.882624,0.512,336.407652,1.90850828,325.956381,7.68E+00,1.12E-11,1.76541854,7.94E-02,3.57E-09,184.634054,161.089972,2.78392145,9260.73056,579.2779,9296.68229,725.388546,9820.69832,0.29603692,NA,27424242.4,TypeI,1.08E-06,711.588648,29.5508851,3952.83274,71.1588648,0.1133511,0.88664891,R,0.1515709,28.6046667,4.43700514,10.8683986,4.87216667,0.799343,1.95798247,10.3492526,0.34573808,9.89E+00,3.78E-08,24.8766628,590.R.100,2.82597965,0.90614585,2.82597965,0.27827949,2.55286894,0.31232497,0.27979997,1.64271571,0.86117272,9.74E+05,6.96E-05
Photoacc,5,1392,fswK,Xenic,100,24,A,X,0.510256,0.517,297.119357,1.75092378,284.151115,8.18E+00,6.70E-11,1.57567719,8.86E-02,2.55E-08,180.335869,143.183982,2.47447407,7704.46522,63.3617032,7997.20879,285.490436,7596.14989,0.26157067,NA,1288571.43,TypeI,1.95E-06,19.8800151,0.96449677,300.593674,1.98800151,0.78865676,0.21134324,X,0.13523204,17.5228333,1.31282681,3.2157558,2.22616667,0.38658698,0.94694085,14.9274185,0.44325012,7.77E+00,1.11E-07,1.13452059,1392.X.100,0.12888112,2.67080096,0.12888112,0.89185132,1.15116946,3.9591215,0.01276051,0.10044182,-0.8031541,4.45E+05,3.18E-05
Photoacc,5,1392,fswK,Xenic,100,24,B,X,0.562686,0.43,458.668037,2.52005443,441.823193,1.34E+01,1.10E-10,2.24018966,1.22E-01,1.86E-08,197.225798,206.609905,3.57058692,7078.11027,242.000886,7457.99025,679.405925,6524.26794,0.23033252,NA,1288571.43,TypeI,2.06E-06,0.36078265,5.28013697,1637.21846,0.03607827,0.9972238,0.0027762,X,0.09904299,17.5228333,1.31282681,3.2157558,2.22616667,0.38658698,0.94694085,13.1447077,0.56321186,9.87E+00,1.18E-07,0.02058929,1392.X.100,0.00233894,2.82146152,0.00233894,0.99493451,0.99906632,240.573553,0.00023158,0.00182282,-0.9967605,4.45E+05,3.18E-05
